id,pos_x,pos_y,iter,clasificacion
1,1.1598,-2.0055,211,0.000000
2,0.8002,-2.0016,183,1.000000
3,0.1970,-2.0048,123,1.000000
4,0.9471,-2.0041,196,0.000000
5,2.3619,-2.0036,304,1.000000
6,2.5048,-1.8687,285,1.000000
7,1.1498,-2.0013,210,0.000000
8,0.5656,-2.0069,169,0.000000
9,2.5035,-1.5352,264,1.000000
10,1.2308,-2.0056,218,0.000000
11,0.2697,-2.0064,140,0.000000
12,0.1126,-2.0023,114,0.000000
13,2.3125,-2.0036,308,1.000000
14,0.0435,-2.0084,82,1.000000
15,2.4283,-2.0036,295,1.000000
16,1.0680,-2.0023,204,0.000000
17,0.0791,-2.0010,105,0.000000
18,0.1511,-2.0030,122,0.000000
19,0.2175,-2.0085,125,1.000000
20,2.5052,-1.8403,312,1.000000
21,2.5039,-1.9433,299,1.000000
22,0.3185,-2.0099,146,0.000000
23,0.0237,-2.0002,78,0.000000
24,1.1698,-2.0094,212,0.000000
25,2.5041,-1.7642,280,1.000000
26,0.7272,-2.0033,181,0.000000
27,0.2959,-2.0024,136,1.000000
28,0.1160,-2.0062,115,0.000000
29,2.5026,-1.7395,275,1.000000
30,0.0396,-2.0007,89,0.000000
